Subject Id	Subject Flag	Agreed Hours
AHCBEK301A	C	15
AHCBEK302	C	30
AHCBEK302A	C	30
AHCBEK303	C	30
AHCBEK303A	C	30
AHCBEK304	C	20
AHCBEK304A	C	20
AHCBEK305	C	20
AHCBEK305A	C	20
AHCBEK306	C	60
AHCBEK306A	C	60
AHCBEK307	C	15
AHCBEK308	C	30
AHCBEK309	C	15
AHCBEK310	C	20
AHCBEK311	C	50
AHCBEK312	C	20
AHCBEK313	C	60
AHCBEK401	C	15
AHCBEK401A	C	15
AHCBEK402	C	60
AHCBEK402A	C	60
AHCBEK403	C	30
AHCBEK403A	C	30
AHCBEK404	C	15
AHCBEK404A	C	15
AHCBEK405	C	50
AHCBEK405A	C	50
AHCBEK406	C	15
AHCBEK406A	C	15
AHCBEK407	C	50
AHCBEK407A	C	50
AHCBEK408	C	20
AHCBEK409	C	50
AHCBER301	C	50
AHCBER302	C	50
AHCBER303	C	50
AHCBER304	C	50
AHCBER305	C	50
AHCBER306	C	50
AHCBER401	C	80
AHCBER402	C	80
AHCBER403	C	80
AHCBER404	C	100
AHCBER501	C	120
AHCBER502	C	120
AHCBER503	C	120
AHCBER504	C	120
AHCBER601	C	200
AHCBER602	C	200
AHCBIO201	C	20
AHCBIO201A	C	20
AHCBIO202	C	20
AHCBIO202A	C	20
AHCBIO203	C	20
AHCBIO204	C	20
AHCBIO301	C	50
AHCBIO301A	C	50
AHCBIO302	C	50
AHCBIO302A	C	50
AHCBIO303	C	100
AHCBIO303A	C	50
AHCBIO304A	C	50
AHCBIO305	C	100
AHCBIO305A	C	100
AHCBIO401	C	120
AHCBIO401A	C	80
AHCBIO402A	C	80
AHCBIO403	C	120
AHCBIO403A	C	120
AHCBIO501A	C	120
AHCBIO502A	C	120
AHCBIO601A	C	200
AHCBUS301	C	70
AHCBUS301A	C	70
AHCBUS401	C	120
AHCBUS401A	C	120
AHCBUS402	C	50
AHCBUS402A	C	50
AHCBUS403A	C	120
AHCBUS404	C	50
AHCBUS404A	C	50
AHCBUS405	C	90
AHCBUS405A	C	90
AHCBUS406	C	120
AHCBUS407	C	50
AHCBUS408	C	50
AHCBUS409	C	90
AHCBUS501	C	140
AHCBUS501A	C	140
AHCBUS502	C	120
AHCBUS502A	C	120
